Question,1 - Strongly disagree,2 - Disagree,3 - Neutral,4 - Agree,5 - Strongly agree
1. I think that I would like to use this application frequently.,0,7,5,23,11
2. I found the application unnecessarily complex.,16,21,7,1,1
3. I thought the application was easy to use.,0,1,4,15,26
4. I think that I would need the support of a technical person to be able to use this application.,12,6,11,15,2
5. I found the various functions in this application were well integrated.,0,0,1,17,28
6. I thought there was too much inconsistency in this application.,28,11,5,2,0
7. I would imagine that most people would learn to use this application very quickly.,1,3,8,17,17
8. I found the application very cumbersome to use.,21,21,3,1,0
9. I felt very confident using the application.,0,0,7,15,24
10. I needed to learn a lot of things before I could get going with this application.,21,11,7,6,1
